Date : 2022-06-15 14:21:54
Directory : /Users/clifford/Codings/winda-test
Total : 231 files,  55532 codes, 3178 comments, 3278 blanks, all 61988 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| JavaScript React   |        174 |     36,946 |      3,159 |      2,967 |     43,072 |
| JSON               |          2 |     16,712 |          0 |          2 |     16,714 |
| JavaScript         |         29 |      1,238 |          6 |        186 |      1,430 |
| CSS                |         22 |        608 |         13 |        107 |        728 |
| Markdown           |          1 |         20 |          0 |         15 |         35 |
| XML                |          2 |          5 |          0 |          0 |          5 |
| JSON with Comments |          1 |          3 |          0 |          1 |          4 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |        231 |     55,532 |      3,178 |      3,278 |     61,988 |
| components                                                                         |        156 |     21,047 |        806 |      1,794 |     23,647 |
| components/Activities                                                              |          7 |      1,157 |         79 |        113 |      1,349 |
| components/Cart                                                                    |          3 |      1,353 |          0 |         83 |      1,436 |
| components/CreateStay                                                              |         20 |      1,387 |         85 |        154 |      1,626 |
| components/Home                                                                    |         16 |      1,852 |          6 |        107 |      1,965 |
| components/Lodging                                                                 |         14 |      1,767 |        219 |        197 |      2,183 |
| components/Login                                                                   |          2 |        216 |          0 |         17 |        233 |
| components/Order                                                                   |         18 |      4,762 |        306 |        417 |      5,485 |
| components/SigninLayout                                                            |          1 |         60 |          0 |          4 |         64 |
| components/Signup                                                                  |          2 |        249 |          0 |         16 |        265 |
| components/Stay                                                                    |         14 |      2,772 |         29 |        218 |      3,019 |
| components/Transport                                                               |         15 |      2,149 |          9 |        172 |      2,330 |
| components/Trip                                                                    |          6 |      1,023 |          0 |         99 |      1,122 |
| components/mapTestComponent                                                        |          1 |        139 |         68 |         20 |        227 |
| components/ui                                                                      |         36 |      2,151 |          5 |        171 |      2,327 |
| lib                                                                                |         11 |        439 |          6 |         55 |        500 |
| pages                                                                              |         20 |     15,971 |      2,353 |      1,183 |     19,507 |
| pages/cart                                                                         |          1 |        756 |          0 |         41 |        797 |
| pages/create-stay                                                                  |          1 |         10 |          0 |          3 |         13 |
| pages/activities                                                                  |          2 |      2,952 |        144 |        227 |      3,323 |
