Date : 2022-09-21 22:49:46
Directory : /Users/clifford/Codings/winda-test
Total : 72 files,  7597 codes, 281 comments, 640 blanks, all 8518 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         57 |      6,859 |        249 |        618 |      7,726 |
| JavaScript       |         10 |        469 |         30 |         15 |        514 |
| JSON             |          2 |        129 |          0 |          0 |        129 |
| XML              |          1 |        108 |          1 |          1 |        110 |
| HTML             |          1 |         19 |          0 |          3 |         22 |
| CSS              |          1 |         13 |          1 |          3 |         17 |
+------------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                               | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                  |         72 |      7,597 |        281 |        640 |      8,518 |
| components                                                                         |         28 |      1,234 |        144 |        129 |      1,507 |
| components/Activities                                                              |          2 |         29 |          0 |          3 |         32 |
| components/Error                                                                   |          1 |         42 |          0 |          6 |         48 |
| components/Home                                                                    |          9 |        128 |         32 |         21 |        181 |
| components/Lodging                                                                 |          4 |         83 |          0 |          1 |         84 |
| components/Stay                                                                    |          2 |         24 |         38 |          4 |         66 |
| components/Trip                                                                    |          6 |        762 |         72 |         83 |        917 |
| components/ui                                                                      |          4 |        166 |          2 |         11 |        179 |
| lib                                                                                |          5 |        406 |          0 |         12 |        418 |
| pages                                                                              |         27 |      2,177 |       -281 |        220 |      2,116 |
| pages-not-to-show                                                                  |          4 |      3,478 |        394 |        272 |      4,144 |
| pages-not-to-show/plan                                                             |          2 |      1,515 |        326 |        121 |      1,962 |
| pages-not-to-show/plan/[slug]                                                      |          1 |      1,376 |        325 |        105 |      1,806 |
| pages-not-to-show/transport                                                        |          1 |      1,907 |         68 |        142 |      2,117 |
| pages-not-to-show/trips                                                            |          1 |         56 |          0 |          9 |         65 |
| pages-not-to-show/trips/[slug]                                                     |          1 |         56 |          0 |          9 |         65 |
| pages/about-us                                                                     |          1 |         85 |          0 |         14 |         99 |
| pages/account                                                                      |          1 |        367 |          0 |         32 |        399 |
| pages/activities                                                                   |          2 |         20 |          0 |         -1 |         19 |
| pages/activities-server-sitemap.xml                                                |          1 |         18 |          0 |          6 |         24 |
| pages/contact-us                                                                   |          1 |          7 |          0 |          0 |          7 |
| pages/gondwana                                                                     |          1 |        556 |         36 |         53 |        645 |
| pages/payment-terms                                                                |          1 |        730 |          0 |         82 |        812 |
| pages/policies                                                                     |          1 |        147 |          0 |         18 |        165 |
| pages/privacy-policy                                                               |          1 |        676 |          0 |         89 |        765 |
| pages/safety                                                                       |          1 |        146 |          0 |         17 |        163 |
| pages/stays                                                                        |          2 |      1,442 |          7 |         96 |      1,545 |
| pages/stays-server-sitemap.xml                                                     |          1 |         18 |          0 |          7 |         25 |
| pages/terms-of-service                                                             |          1 |        685 |          0 |         25 |        710 |
| pages/transport                                                                    |          1 |     -1,705 |        -58 |       -131 |     -1,894 |
| pages/trip                                                                         |          6 |       -913 |       -321 |        -71 |     -1,305 |
| pages/trip/[slug]                                                                  |          1 |        268 |          5 |         21 |        294 |
